Defined term,Definition,Reference1,Reference2
TMA,"TMA is thrombotic microangiopathy, or thrombosis in capillaries and arterioles due to endothelial injury. It is associated with thrombocytopenia, anemia, purpura, and renal failure. Classic TMAs are hemolytic uremic syndromeand TTP. TMAs occur with DIC, malignant hypertension, antiphospholipid antibody syndrome, and some drug toxicities.",https://en.wikipedia.org/wiki/Thrombotic_microangiopathy,
Tmax,Tmax is maximum body temperature in previous 24 hours in degrees Celcius.,https://www.criticalcarenutrition.com/docs/BOB/ReferenceDoc.pdf,
TNG,TNG is an abbreviation for terminal nerve ganglion.,https://www.acronymfinder.com/Science-and-Medicine/TNG.html,
tng,Tng is an abbreviation for tongue.,https://www.acronymfinder.com/Science-and-Medicine/TNG.html,
TNG,TNG is an abbreviation for toxic nodular goiter.,https://www.acronymfinder.com/Science-and-Medicine/TNG.html,
tng,Tng is an abbreviation for trinitroglycerine.,https://www.acronymfinder.com/Science-and-Medicine/TNG.html,
tng,Tng is an abbreviation for trinitroglycerol.,https://www.acronymfinder.com/Science-and-Medicine/TNG.html,
tol,tolerated,globalrph.com/abbreviations,
TPN,"Total parenteral nutrition is feeding directly into a vein, and done when GI system doesn’t work or needs to rest, or to prepare for major therapy.",https://www.g-pact.org/gastroparesis/nutrition/intravenous-nutrition/tpn,
trach,"tracheotomy, tracheostomy; done for long term mechanical ventilation",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
trach mask,Trach mask can be fitted over the tracheostomy tube outlet to facilitate humidification of delivered gases.,https://www.aacn.org/docs/cemedia/C135.pdf,
trached,Trached means a tracheotomy (tracheostomy) was done for long term mechanical ventilation,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
tracheostomy tube,"tracheotomy, tracheostomy; done for long term mechanical ventilation",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
tracheotomy,"tracheotomy, tracheostomy; done for long term mechanical ventilation",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
tracheotomy tube,"tracheotomy, tracheostomy; done for long term mechanical ventilation",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
tramadol,Tramadol is a pain relieving drug.,https://medlineplus.gov/druginfo/meds/a695011.html,
transcath,Transcatheter aortic valve replacement (TAVR) is a minimally invasive procedure to replace a narrowed aortic valve that fails to open properly (aortic valve stenosis).,https://www.mayoclinic.org/tests-procedures/transcatheter-aortic-valve-replacement/about/pac-20384698,
transferred cardiology floor CCU,The patient needed intensive cardiac care.,,
transfused unit,Transfused a unit of blood or blood component.,,
transfused unit red,Red blood cells were transfused.,,
transplant,Had an organ or tissue transplant.,,
transthoracic,"Transthoracic means passing through the thoracic cavity, or across the chest wall.","Dorland's Medical Dictionary for Health Consumers.  2007 by Saunders, an imprint of Elsevier Inc.",
traumatic spine,Traumatic spine is physical injury to the spine.,,
trigger finger release,"Trigger finger, stenosing tenosynovitis, is when the finger can't open and close easily because of a tendon problem, which can be surgically ""released"".",http://www.assh.org/handcare/hand-arm-conditions/trigger-finger,
trisegmentectomy,Trisegmentectomy is a type of liver surgery.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2653783/,
trisodium citrate,"Trisodium citrate is used to prevent clots during blood transfusions and hemodialysis, relieve urinary tract infection discomfort, reduce renal tubular acidosis, is an osmotic laxative, and is an antacid given before anesthesia.",https://en.wikipedia.org/wiki/Trisodium_citrate,
trophic,"Trophic changes indicating compromised circulation: absence of normal leg/foot hair, excessive callus formation, or shiny skin","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
trophic,relating to nutrition,https://medical-dictionary.thefreedictionary.com/trophic,
troponin,"Troponin can be high due to myocardial infarction, pulmonary embolism, sepsis, myocarditis, or stroke.",,
TSICU,trauma surgical ICU,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
TTE,"TTE is transthoracic echocardiography, to view heart function.",https://www.acronymfinder.com/TTE.html,
TTP,Thrombotic thrombocytopenic purpura (TTP) starts with blood clots forming in small blood vessels throughout the body; this uses up platelets and results in bleeding problems.,https://www.nhlbi.nih.gov/health-topics/thrombotic-thrombocytopenic-purpura,
t-tube cholangiogram,"T-tube cholangiogram is an image of the t-tube that was placed in the common bile duct after gallbladder removal, to check its position.",,
TV,tidal volume,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_T,
TVR,TVR is target vessel revascularization.,https://www.acronymfinder.com/Science-and-Medicine/TVR.html,
TVR,TVR is triscupid valve replacement.,https://www.acronymfinder.com/Science-and-Medicine/TVR.html,
tx,transfused,,
type dissection major surgical invasive,Acute aortic dissection leads to aortic rupture; is life threatening and treated with repair surgery.,https://experts.umich.edu/en/publications/acute-aortic-dissection-2,
u/o,urine output,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_U,
UGIB,UGIB is upper gastrointestinal bleed.,https://www.acronymfinder.com/Science-and-Medicine/UGIB.html,
UL,microliter,https://www.allacronyms.com/UL/medical,
UL,undifferentiated lymphoma,https://www.allacronyms.com/UL/medical,
UL,upper left,https://www.allacronyms.com/UL/medical,
UL,upper lid,https://www.allacronyms.com/UL/medical,
UL,upper limb(s),https://www.allacronyms.com/UL/medical,
UL,upper lobe,https://www.allacronyms.com/UL/medical,
UL,uterine leiomyoma,https://www.allacronyms.com/UL/medical,
unit,"Could mean a unit of blood or blood component, or a place where critical care is provided.",,
unit hung,Transfused a unit of blood or blood component.,,
unit infusing,Transfused a unit of blood or blood component.,,
unstable T11,"Unstable T11 is an unstable 11th thoracic vertebra, near the bottom of the chest.",https://www.healthline.com/human-body-maps/t11-eleventh-thoracic-vertebrae#1,
UO,under observation,https://allacronyms.com/UO/medical,
UO,undetermined origin,https://allacronyms.com/UO/medical,
UO,unfavorable outcome,https://allacronyms.com/UO/medical,
UO,urine output,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_U,
UOP,urine output,http://www.globalrph.com/abbreviations_U.htm,
UPC,UPC is a unit of packed red blood cells.,,
UPRBC,UPRBC is a unit of packed red blood cells.,,
URBC,URBC is a unit of packed red blood cells.,,
uremia,uremia is too much urea in the blood due to kidney failure,https://www.medicinenet.com/script/main/art.asp?articlekey=11854,
ureteral,"having to do with the ureter, which carries urine from the kidney to the bladder",,
ureteral stent,ureteral stenting is the placement of a stent in the ureter to restore urine flow from the kidney to the bladder.,https://www.radiologyinfo.org/en/info.cfm?pg=ureteralnephro,
ureteral stenting,ureteral stenting is the placement of a stent in the ureter to restore urine flow from the kidney to the bladder.,https://www.radiologyinfo.org/en/info.cfm?pg=ureteralnephro,
urostomy,"A urostomy is a surgically-created abdominal opening for urine to flow out of the body, that bypasses the bladder.",https://www.cancer.org/treatment/treatments-and-side-effects/physical-side-effects/ostomies/urostomy/what-is-urostomy.html,
UTI,urinary tract infection,,
V/S,vital signs,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_V,
vac dsg,"Vacuum-assisted closure (also called vacuum therapy, vacuum sealing or topical negative pressure therapy) is a simple technique where a piece of foam with an open-cell structure is inserted into the wound, and a wound drain with lateral perforations is laid atop it. The entire area is then covered with a transparent adhesive membrane, which is firmly secured to the healthy skin around the wound margin. When the exposed end of the drain tube is connected to a vacuum source, fluid is drawn from the wound through the foam into a reservoir for subsequent disposal.",https://www.woundcarecenters.org/article/wound-therapies/vacuumassisted-closure,
vacuum,Vacuum is used to suck loose materials from wounds or respiratory system.,https://www.boehringerlabs.com/wp-content/uploads/2017/03/healthcare-product-comparison-on-suction-regulators.pdf,
vancomycin,antibiotic,,
VAP,ventilator-associated pneumonia,http://www.merckmanuals.com/professional/critical-care-medicine/respiratory-failure-and-mechanical-ventilation/overview-of-mechanical-ventilation,
variceal,Varices are swollen blood vessels in the upper GI tract caused because blood that normally goes to the liver from the GI tract is blocked by cirrhosis; they can rupture and bleed.,https://www.liver.ca/patients-caregivers/liver-diseases/variceal-bleeding/,
variceal bleed,Varices are swollen blood vessels in the upper GI tract caused because blood that normally goes to the liver from the GI tract is blocked by cirrhosis; they can rupture and bleed.,https://www.liver.ca/patients-caregivers/liver-diseases/variceal-bleeding/,
varices,Varices are swollen blood vessels in the upper GI tract caused because blood that normally goes to the liver from the GI tract is blocked by cirrhosis; they can rupture and bleed.,https://www.liver.ca/patients-caregivers/liver-diseases/variceal-bleeding/,
vascular engorgement perihilar,"This is vascular engorgement in the lungs, which is related to pulmonary edema",https://radiologykey.com/pulmonary-edema/,
vascular sheath,A vascular sheath is placed in the vessel to guide other devices during a procedure.,,
VE,vaginal examination (manual),https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_V,
VE,venous emptying,https://www.allacronyms.com/VE/medical,
VE,ventilation,https://www.allacronyms.com/VE/medical,
VE,viral encephalitis,https://www.allacronyms.com/VE/medical,
VE,volume expansion,https://www.allacronyms.com/VE/medical,
Ve,Ventilation in liters per minute at time of measurement read from the ventilator.,https://www.criticalcarenutrition.com/docs/BOB/ReferenceDoc.pdf,
vent,ventilation,https://www.allacronyms.com/VENT/medical,
VENT,ventilator,https://www.allacronyms.com/VENT/medical,
VENT,ventral,https://www.allacronyms.com/VENT/medical,
VENT,ventricle,https://www.allacronyms.com/VENT/medical,
VENT,ventricular,https://www.allacronyms.com/VENT/medical,
vent support,This indicates mechanical ventilation.,https://www.nhlbi.nih.gov/health-topics/ventilatorventilator-support,
ventilated,This indicates mechanical ventilation.,https://www.nhlbi.nih.gov/health-topics/ventilatorventilator-support,
ventilator ,This indicates mechanical ventilation.,https://www.nhlbi.nih.gov/health-topics/ventilatorventilator-support,
ventilator support,This indicates mechanical ventilation.,https://www.nhlbi.nih.gov/health-topics/ventilatorventilator-support,
ventilatory,This indicates mechanical ventilation.,https://www.nhlbi.nih.gov/health-topics/ventilatorventilator-support,
ventral hernia,Ventral hernia is a sac (pouch) formed from the inner lining of your belly (abdomen) that pushes through a hole in the abdominal wall.,https://medlineplus.gov/ency/article/007661.htm,
ventricular response rate,Ventricular response rate refers to heart performance.,https://www.webmd.com/heart-disease/atrial-fibrillation/afib-rapid-response#1,
ventricular system,The ventricle system is a communicating network of brain cavities that produces and is filled with cerebrospinal fluid (CSF).,https://emedicine.medscape.com/article/1923254-overview,
verapamil,Verapamil is a drug for treating essential hypertension.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ae13cb4-0316-40d1-9216-c7d5556aaed3,
versed,Versed is used for short term anesthesia and anesthesia during mechanical ventilation.,,
vessel disease,Vessel disease refers to narrowed blood vessels.,,
viremia,Viremia is a viral infection in the blood,,
Vivonex,Vivonex is medical food for tube feeding.,https://www.nestlehealthscience.us/brands/vivonex/vivonex-t-e-n-hcp,
voiding,Voiding usually means to urinate and is also used to mean to defecate.,https://www.medicinenet.com/script/main/art.asp?articlekey=6004,
VRE,"VRE is vancomycin resistant enterococcus, a type of bacteria.",https://www.acronymfinder.com/Science-and-Medicine/VRE.html,
VS,vital signs,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf,
vs,versus,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_V,
VSD,VSD is a congenital heart defect.,https://www.mayoclinic.org/diseases-conditions/ventricular-septal-defect/symptoms-causes/syc-20353495,
VSS,vital signs stable,https://www.acronymfinder.com/Science-and-Medicine/VSS.html,
VT,ventricular tachycardia,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_V,
VT,verotoxin,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_V,
WBC,white blood cell/ count,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_W,
WBC up,Increased white blood cells indicate infection.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
weep,"Weeping is seen in mostly in CHF patients who, because of fluid overload, become extremely edematous. The worst edema is seen in the arms and legs. The skin is stretched so tight that it becomes very thin and the interstitial fluids seep or weep out through the pores.",https://allnurses.com/what-quot-weeping-quot-could-t105924/,
